"ID","Handle","Command","Title","Is Default","Top Row","Row #","Menu Item: ID","Menu Item: Title","Menu Item: Command","Menu Item: Resource Type","Menu Item: Resource ID","Menu Item: Resource Handle","Menu Item: Collection Tags","Menu Item: URL","Menu Item: Parent ID","Menu Item: Parent Title","Menu Item: Position"
"234797498505","footer-2","MERGE","Footer menu","","true","1","562218795145","Search","MERGE","SEARCH","","","","/search","","","1"
"234793205897","footer-1","MERGE","Footer menu","","true","2","562209226889","Search","MERGE","SEARCH","","","","/search","","","1"
"234793238665","praella-footer-websites","MERGE","Praella Footer Websites","","true","3","562513019017","XeroShoes.com","MERGE","HTTP","","","","https://XeroShoes.com","","","1"
"234793238665","praella-footer-websites","MERGE","Praella Footer Websites","","","4","562513051785","XeroShoes.co.uk","MERGE","HTTP","","","","https://XeroShoes.co.uk","","","2"
"234920411273","footer-3","MERGE","Footer menu","","true","5","562512658569","Search","MERGE","SEARCH","","","","/search","","","1"
"234920411273","footer-3","MERGE","Footer menu","","","6","562512691337","Your privacy choices","MERGE","PAGE","115656261769","data-sharing-opt-out","","/pages/data-sharing-opt-out","","","2"
"232590737545","customer-account-main-menu","MERGE","Customer account main menu","true","true","7","562512593033","Shop","MERGE","FRONTPAGE","","","","/","","","1"
"232590737545","customer-account-main-menu","MERGE","Customer account main menu","true","","8","562512625801","Orders","MERGE","CUSTOMER_ACCOUNT_PAGE","91191312521","orders","","https://shopify.com/72073838729/account/orders","","","2"
"234920476809","praella-footer-menu-2","MERGE","Praella Footer Menu 2","","true","9","562512887945","Our Warranty","MERGE","PAGE","115656687753","warranty","","/pages/warranty","","","1"
"234920476809","praella-footer-menu-2","MERGE","Praella Footer Menu 2","","","10","562512920713","Exchanges & Returns","MERGE","PAGE","115656622217","return-policy","","/pages/return-policy","","","2"
"234920476809","praella-footer-menu-2","MERGE","Praella Footer Menu 2","","","11","562512953481","Shipping Info","MERGE","PAGE","115656589449","shipping","","/pages/shipping","","","3"
"234920476809","praella-footer-menu-2","MERGE","Praella Footer Menu 2","","","12","562512986249","Track Your Order","MERGE","HTTP","","","","https://track.xeroshoes.com","","","4"
"234920509577","praella-footer-menu","MERGE","Praella Footer Menu","","true","13","562513084553","Privacy","MERGE","PAGE","115656556681","privacy","","/pages/privacy","","","1"
"234920509577","praella-footer-menu","MERGE","Praella Footer Menu","","","14","562513117321","Terms of Service","MERGE","PAGE","115656425609","terms","","/pages/terms","","","2"
"234920509577","praella-footer-menu","MERGE","Praella Footer Menu","","","15","562513150089","Accessibility Support","MERGE","PAGE","115656818825","accessibility-support","","/pages/accessibility-support","","","3"
"234920509577","praella-footer-menu","MERGE","Praella Footer Menu","","","16","562513182857","Do Not Sell","MERGE","HTTP","","","","/pages/do-not-sell-or-share-my-personal-information","","","4"
"234920444041","praella-footer-menu-1","MERGE","Praella Footer Menu 1","","true","17","562512724105","About Us","MERGE","PAGE","115656327305","about-us","","/pages/about-us","","","1"
"234920444041","praella-footer-menu-1","MERGE","Praella Footer Menu 1","","","18","562512756873","5,000 Mile Sole Warranty","MERGE","PAGE","115656687753","warranty","","/pages/warranty","","","2"
