"ID","Handle","Command","Display Name","Status","Updated At","Definition: Handle","Definition: Name","Top Row","Row #","Field","Value"
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","true","1","product_for","HFS - Men"
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","","2","background_color",""
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","","3","title","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Why You'll Love HFS""}]}]}"
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","","4","subtitle","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Why “HFS?”""}]}]}"
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","","5","content","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Well, it ""},{""type"":""text"",""value"":""could"",""bold"":true},{""type"":""text"",""value"":"" be for the “Highly Flexible Sole” that lets your foot move naturally, or the face you’ll make when you put it on — “Happy Face Shoe” — or the way you run in it with a “High Frequency Stride”, or what you exclaim when you put it on and feel the comfort and light weight: “Holy ___ ___!”""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""There are as many possible answers as there are things you’ll do in the HFS.""}]}]}"
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","","6","image_video",""
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","","7","youtube_video_id","k0sXeBEiFUE"
"154996932745","hfs-men","MERGE","HFS - Men","Active","2025-10-16 14:19:53 +0200","media_with_text","Media with Text","","8","multiple_images",""
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","true","9","product_for","HFS - Women"
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","","10","background_color",""
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","","11","title","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Why You'll Love HFS""}]}]}"
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","","12","subtitle",""
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","","13","content","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""What makes the HFS the ultimate minimalist road running shoe?"",""bold"":true}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""A new lightweight, breathable mesh upper, a new tire tread-inspired sole, a silky moisture wicking lining, protected tension straps… put all of that together for your new favorite road running shoe, the HFS.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Of course, we know you’ll do ""},{""type"":""text"",""value"":""much"",""bold"":true},{""type"":""text"",""value"":"" more than just run down your favorite roads in the HFS (and we can’t wait to see pics of where it takes you and what you do in it!)""}]}]}"
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","","14","image_video",""
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","","15","youtube_video_id","k0sXeBEiFUE"
"154997031049","hfs-women","MERGE","HFS - Women","Active","2025-10-16 14:13:45 +0200","media_with_text","Media with Text","","16","multiple_images",""
"154997063817","hfs-women-0","MERGE","HFS - Women-0","Active","2025-10-16 14:15:10 +0200","media_with_text","Media with Text","true","17","product_for","HFS - Women-0"
"154997063817","hfs-women-0","MERGE","HFS - Women-0","Active","2025-10-16 14:15:10 +0200","media_with_text","Media with Text","","18","background_color",""
