"ID","Handle","Command","Title","Body HTML","Sort Order","Template Suffix","Updated At","Published","Published At","Published Scope","Image Src","Image Width","Image Height","Image Alt Text","Row #","Top Row","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition","Products Count","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: collection.marketing_h1 [single_line_text_field]","Metafield: collection.sub_categories [list.collection_reference]","Metafield: collection.parent_category [collection_reference]","Metafield: collection.child_collections [list.collection_reference]","Metafield: collection.collection_bottom_description [list.metaobject_reference]","Metafield: collection.below_category_content [rich_text_field]","Metafield: collection.promo_block_1 [metaobject_reference]","Metafield: collection.promo_block_2 [metaobject_reference]","Metafield: collection.promo_block_3 [metaobject_reference]","Metafield: collection.promo_block_4 [metaobject_reference]"
"310339141769","boots","MERGE","Boots","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:55:32 +0200","web","","","","","1","true","all conditions","Tag","Equals","boots","32","","","","","","","","","","","",""
"310339141769","boots","MERGE","Boots","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:55:32 +0200","web","","","","","2","","","Title","Not Contains","clearance","32","","","","","","","","","","","",""
"310339109001","uncategorized","MERGE","Uncategorized","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:55:08 +0200","web","","","","","3","true","all conditions","Tag","Equals","uncategorized","2","","","","","","","","","","","",""
"310339207305","accessories","MERGE","Shoe Accessories & Gear","<p>The accessories you need to improve your foot health and strength along with other extras for your Xero Shoes.</p>","Best Selling","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:55:32 +0200","web","","","","","4","true","all conditions","Tag","Equals","accessories","6","","","","","","","","","","","",""
"310339174537","kids","MERGE","Kids","<p>A kid’s foot isn’t just a miniature version of an adult’s.</p>

<p>Xero Shoes kid and youth styles are made with an ergonomic fit tailored for children’s feet.</p>","Manual","","2025-10-17 07:09:36 +0200","true","2025-10-13 07:55:32 +0200","web","","","","","5","true","all conditions","Tag","Equals","kids","9","","","","kids, little-kids, big-kids","","little-kids, big-kids","","","","","",""
"310339240073","sandals","MERGE","Sandals","<p>At the beach, on the trail, or around town – a perfect sandal for every activity.</p>","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:55:32 +0200","web","","","","","6","true","all conditions","Tag","Equals","sandals","25","","","","","","sportsandals, huarache-sandals, casual-sandals","","","","","",""
"310339371145","hiking-trail-mens","MERGE","Hiking / Trail - Men","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","7","true","all conditions","Tag","Equals","hiking-trail-mens","24","","","","","","","","","","","",""
"310339371145","hiking-trail-mens","MERGE","Hiking / Trail - Men","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","8","","","Title","Not Contains","CLEARANCE","24","","","","","","","","","","","",""
"310339272841","shoes","MERGE","Shoes","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:55:33 +0200","web","","","","","9","true","all conditions","Tag","Equals","shoes","115","","","","","","hiking, casual, shoes-running-fitness","","","","","",""
"310339403913","gear","MERGE","Gear","","Manual","","2025-10-13 20:33:13 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","10","true","all conditions","Tag","Equals","gear","0","","","","","","","","","","","",""
"310339436681","shoes-mens","MERGE","Shoes - Men","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","11","true","all conditions","Tag","Equals","shoes-mens","53","","","","","","","","","","","",""
"310339338377","activity","MERGE","Activity","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","12","true","all conditions","Tag","Equals","activity","78","","","","","","running-fitness, hiketrail, water, lifestyle","","","","","",""
"310339469449","casual-mens","MERGE","Casual - Men","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","13","true","all conditions","Tag","Equals","casual-mens","28","","","","","","","","","","","",""
"310339469449","casual-mens","MERGE","Casual - Men","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","14","","","Title","Not Contains","CLEARANCE","28","","","","","","","","","","","",""
"310339502217","sandals-womens","MERGE","Sandals - Women","<span data-sheets-root=""1"">Headed to the beach, walking around town, or exploring a new trail? </span>

<span data-sheets-root=""1"">Do it in style and comfort with Xero Shoes barefoot-inspired sandals for women.</span>","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","15","true","all conditions","Tag","Equals","sandals-womens","8","","","","","","","","","","","",""
"310339502217","sandals-womens","MERGE","Sandals - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","16","","","Title","Not Contains","clearance","8","","","","","","","","","","","",""
"310339534985","sandals-mens","MERGE","Sandals - Men","<span data-sheets-root=""1"">At the beach, around town, or on the trail... do it in style and comfort with Xero Shoes barefoot-inspired sandals for men.</span>","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","17","true","all conditions","Tag","Equals","sandals-mens","9","","","","","","","","","","","",""
"310339534985","sandals-mens","MERGE","Sandals - Men","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","18","","","Title","Not Contains","clearance","9","","","","","","","","","","","",""
"310339567753","foot-care","MERGE","Foot Strength & Balance","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","19","true","all conditions","Tag","Equals","foot-care","6","","","","","","","","","","","",""
"310339600521","on-sale","MERGE","On Sale","","Manual","","2025-10-21 13:18:02 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","20","true","all conditions","Tag","Equals","on-sale","11","","","","","","","","","","","",""
"310339633289","bestsellers-mens","MERGE","Men's Best Sellers","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","21","true","all conditions","Tag","Equals","bestsellers-mens","15","","","","","","","","","","","",""
"310339666057","alpine","MERGE","Alpine","","Manual","","2025-10-21 13:18:02 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","22","true","all conditions","Tag","Equals","alpine","6","","","","","","","","","","","",""
"310339698825","bestsellers-womens","MERGE","Women's Best Sellers","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","23","true","all conditions","Tag","Equals","bestsellers-womens","14","","","","","","","","","","","",""
"310339731593","water-mens","MERGE","Water - Men","","Best Selling","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","24","true","all conditions","Tag","Equals","water-mens","9","","","","","","","","","","","",""
"310339731593","water-mens","MERGE","Water - Men","","Best Selling","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","25","","","Title","Not Contains","clearance","9","","","","","","","","","","","",""
"310339797129","hiking-trail-womens","MERGE","Hiking / Trail - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","26","true","all conditions","Tag","Equals","hiking-trail-womens","20","","","","","","","","","","","",""
"310339797129","hiking-trail-womens","MERGE","Hiking / Trail - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","27","","","Title","Not Contains","clearance","20","","","","","","","","","","","",""
