"ID","Handle","Command","Display Name","Status","Updated At","Definition: Handle","Definition: Name","Top Row","Row #","Field","Value"
"123277017266","universal","MERGE","Universal","","2025-07-08 05:47:50 -0600","shopify--age-group","Age group","true","1","label","Universal"
"123277017266","universal","MERGE","Universal","","2025-07-08 05:47:50 -0600","shopify--age-group","Age group","","2","taxonomy_reference","gid://shopify/TaxonomyValue/18291"
"123277050034","polyester","MERGE","Polyester","","2025-07-08 05:47:50 -0600","shopify--clothing-accessory-material","Clothing accessory material","true","3","label","Polyester"
"123277050034","polyester","MERGE","Polyester","","2025-07-08 05:47:50 -0600","shopify--clothing-accessory-material","Clothing accessory material","","4","taxonomy_reference","gid://shopify/TaxonomyValue/17134"
"126003282098","black-1","MERGE","Black","","2025-07-28 01:48:46 -0600","shopify--color-pattern","Color","true","5","label","Black"
"126003282098","black-1","MERGE","Black","","2025-07-28 01:48:46 -0600","shopify--color-pattern","Color","","6","color","#000000"
"126003282098","black-1","MERGE","Black","","2025-07-28 01:48:46 -0600","shopify--color-pattern","Color","","7","image",""
"126003282098","black-1","MERGE","Black","","2025-07-28 01:48:46 -0600","shopify--color-pattern","Color","","8","color_taxonomy_reference","gid://shopify/TaxonomyValue/1"
"126003282098","black-1","MERGE","Black","","2025-07-28 01:48:46 -0600","shopify--color-pattern","Color","","9","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126523932850","bronze","MERGE","Bronze","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","true","10","label","Bronze"
"126523932850","bronze","MERGE","Bronze","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","11","color","#CD7F32"
"126523932850","bronze","MERGE","Bronze","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","12","image",""
"126523932850","bronze","MERGE","Bronze","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","13","color_taxonomy_reference","gid://shopify/TaxonomyValue/657"
"126523932850","bronze","MERGE","Bronze","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","14","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126523965618","brown","MERGE","Brown","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","true","15","label","Brown"
"126523965618","brown","MERGE","Brown","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","16","color","#9A5630"
"126523965618","brown","MERGE","Brown","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","17","image",""
"126523965618","brown","MERGE","Brown","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","18","color_taxonomy_reference","gid://shopify/TaxonomyValue/7"
"126523965618","brown","MERGE","Brown","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","19","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126523998386","beige","MERGE","Beige","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","true","20","label","Beige"
"126523998386","beige","MERGE","Beige","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","21","color","#EAD8AB"
"126523998386","beige","MERGE","Beige","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","22","image",""
"126523998386","beige","MERGE","Beige","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","23","color_taxonomy_reference","gid://shopify/TaxonomyValue/6"
"126523998386","beige","MERGE","Beige","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","24","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126524031154","clear","MERGE","Clear","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","true","25","label","Clear"
"126524031154","clear","MERGE","Clear","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","26","color","#FFFFFF"
"126524031154","clear","MERGE","Clear","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","27","image",""
"126524031154","clear","MERGE","Clear","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","28","color_taxonomy_reference","gid://shopify/TaxonomyValue/17"
"126524031154","clear","MERGE","Clear","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","29","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126524063922","gold","MERGE","Gold","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","true","30","label","Gold"
"126524063922","gold","MERGE","Gold","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","31","color","#D49A06"
"126524063922","gold","MERGE","Gold","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","32","image",""
"126524063922","gold","MERGE","Gold","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","33","color_taxonomy_reference","gid://shopify/TaxonomyValue/4"
"126524063922","gold","MERGE","Gold","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","34","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126534156466","navy","MERGE","Navy","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","true","35","label","Navy"
"126534156466","navy","MERGE","Navy","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","36","color","#282099"
"126534156466","navy","MERGE","Navy","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","37","image",""
"126534156466","navy","MERGE","Navy","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","38","color_taxonomy_reference","gid://shopify/TaxonomyValue/15"
"126534156466","navy","MERGE","Navy","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","39","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126534189234","orange","MERGE","Orange","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","true","40","label","Orange"
"126534189234","orange","MERGE","Orange","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","41","color","#FF8A00"
"126534189234","orange","MERGE","Orange","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","42","image",""
"126534189234","orange","MERGE","Orange","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","43","color_taxonomy_reference","gid://shopify/TaxonomyValue/10"
"126534189234","orange","MERGE","Orange","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","44","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126534222002","pink","MERGE","Pink","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","true","45","label","Pink"
"126534222002","pink","MERGE","Pink","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","46","color","#FFC0CB"
"126534222002","pink","MERGE","Pink","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","47","image",""
"126534222002","pink","MERGE","Pink","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","48","color_taxonomy_reference","gid://shopify/TaxonomyValue/11"
"126534222002","pink","MERGE","Pink","","2025-08-01 04:56:11 -0600","shopify--color-pattern","Color","","49","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"123277082802","multicolor","MERGE","Multicolor","","2025-07-08 05:47:50 -0600","shopify--color-pattern","Color","true","50","label","Multicolor"
"123277082802","multicolor","MERGE","Multicolor","","2025-07-08 05:47:50 -0600","shopify--color-pattern","Color","","51","color",""
"123277082802","multicolor","MERGE","Multicolor","","2025-07-08 05:47:50 -0600","shopify--color-pattern","Color","","52","image",""
"123277082802","multicolor","MERGE","Multicolor","","2025-07-08 05:47:50 -0600","shopify--color-pattern","Color","","53","color_taxonomy_reference","gid://shopify/TaxonomyValue/2865"
"123277082802","multicolor","MERGE","Multicolor","","2025-07-08 05:47:50 -0600","shopify--color-pattern","Color","","54","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/24509"
"126003216562","black","MERGE","Black","","2025-07-28 01:46:11 -0600","shopify--color-pattern","Color","true","55","label","Black"
"126003216562","black","MERGE","Black","","2025-07-28 01:46:11 -0600","shopify--color-pattern","Color","","56","color","#000000"
"126003216562","black","MERGE","Black","","2025-07-28 01:46:11 -0600","shopify--color-pattern","Color","","57","image",""
"126003216562","black","MERGE","Black","","2025-07-28 01:46:11 -0600","shopify--color-pattern","Color","","58","color_taxonomy_reference","gid://shopify/TaxonomyValue/1"
"126003216562","black","MERGE","Black","","2025-07-28 01:46:11 -0600","shopify--color-pattern","Color","","59","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"126523900082","blue","MERGE","Blue","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","true","60","label","Blue"
"126523900082","blue","MERGE","Blue","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","61","color","#005BD3"
"126523900082","blue","MERGE","Blue","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","62","image",""
"126523900082","blue","MERGE","Blue","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","63","color_taxonomy_reference","gid://shopify/TaxonomyValue/2"
"126523900082","blue","MERGE","Blue","","2025-08-01 04:41:29 -0600","shopify--color-pattern","Color","","64","pattern_taxonomy_reference","gid://shopify/TaxonomyValue/2874"
"123277115570","unisex","MERGE","Unisex","","2025-07-08 05:47:50 -0600","shopify--target-gender","Target gender","true","65","label","Unisex"
"123277115570","unisex","MERGE","Unisex","","2025-07-08 05:47:50 -0600","shopify--target-gender","Target gender","","66","taxonomy_reference","gid://shopify/TaxonomyValue/20"
"140824412338","male","MERGE","Male","","2025-09-24 14:13:25 -0600","shopify--target-gender","Target gender","true","67","label","Male"
"140824412338","male","MERGE","Male","","2025-09-24 14:13:25 -0600","shopify--target-gender","Target gender","","68","taxonomy_reference","gid://shopify/TaxonomyValue/19"
"126003380402","7-5","MERGE","7.5","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","true","69","label","7.5"
"126003380402","7-5","MERGE","7.5","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","","70","taxonomy_reference","gid://shopify/TaxonomyValue/2945"
"126003445938","8-5","MERGE","8.5","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","true","71","label","8.5"
"126003445938","8-5","MERGE","8.5","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","","72","taxonomy_reference","gid://shopify/TaxonomyValue/2946"
"126003478706","9","MERGE","9","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","true","73","label","9"
"126003478706","9","MERGE","9","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","","74","taxonomy_reference","gid://shopify/TaxonomyValue/2947"
"126003511474","9-5","MERGE","9.5","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","true","75","label","9.5"
"126003511474","9-5","MERGE","9.5","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","","76","taxonomy_reference","gid://shopify/TaxonomyValue/2948"
"126003413170","8","MERGE","8","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","true","77","label","8"
"126003413170","8","MERGE","8","","2025-07-28 01:49:54 -0600","shopify--shoe-size","Shoe size","","78","taxonomy_reference","gid://shopify/TaxonomyValue/17102"
"126003249330","7","MERGE","7","","2025-07-28 01:46:11 -0600","shopify--shoe-size","Shoe size","true","79","label","7"
"126003249330","7","MERGE","7","","2025-07-28 01:46:11 -0600","shopify--shoe-size","Shoe size","","80","taxonomy_reference","gid://shopify/TaxonomyValue/2944"
"126003347634","6-5","MERGE","6.5","","2025-07-28 01:49:53 -0600","shopify--shoe-size","Shoe size","true","81","label","6.5"
"126003347634","6-5","MERGE","6.5","","2025-07-28 01:49:53 -0600","shopify--shoe-size","Shoe size","","82","taxonomy_reference","gid://shopify/TaxonomyValue/2943"
"127507497138","laces","MERGE","Laces","Active","2025-09-10 06:37:06 -0600","product_description","Product Description","true","83","title_of_product","Laces"
"127507497138","laces","MERGE","Laces","Active","2025-09-10 06:37:06 -0600","product_description","Product Description","","84","media_with_text","media_with_text.laces"
"127507497138","laces","MERGE","Laces","Active","2025-09-10 06:37:06 -0600","product_description","Product Description","","85","testimonial",""
"127507497138","laces","MERGE","Laces","Active","2025-09-10 06:37:06 -0600","product_description","Product Description","","86","feature_cards_title",""
"127507497138","laces","MERGE","Laces","Active","2025-09-10 06:37:06 -0600","product_description","Product Description","","87","feature_cards",""
"127507497138","laces","MERGE","Laces","Active","2025-09-10 06:37:06 -0600","product_description","Product Description","","88","ugc_title",""
"127507497138","laces","MERGE","Laces","Active","2025-09-10 06:37:06 -0600","product_description","Product Description","","89","ugc_video",""
"127507464370","hole-punch","MERGE","Hole Punch","Active","2025-08-19 23:28:13 -0600","product_description","Product Description","true","90","title_of_product","Hole Punch"
"127507464370","hole-punch","MERGE","Hole Punch","Active","2025-08-19 23:28:13 -0600","product_description","Product Description","","91","media_with_text","media_with_text.hole-punch, media_with_text.hole-punch-0"
"127507464370","hole-punch","MERGE","Hole Punch","Active","2025-08-19 23:28:13 -0600","product_description","Product Description","","92","testimonial",""
"127507464370","hole-punch","MERGE","Hole Punch","Active","2025-08-19 23:28:13 -0600","product_description","Product Description","","93","feature_cards_title",""
"127507464370","hole-punch","MERGE","Hole Punch","Active","2025-08-19 23:28:13 -0600","product_description","Product Description","","94","feature_cards",""
"127507464370","hole-punch","MERGE","Hole Punch","Active","2025-08-19 23:28:13 -0600","product_description","Product Description","","95","ugc_title",""
"127507464370","hole-punch","MERGE","Hole Punch","Active","2025-08-19 23:28:13 -0600","product_description","Product Description","","96","ugc_video",""
"127507529906","feeltrue-outsoles","MERGE","Feeltrue Outsoles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","true","97","title_of_product","FeelTrue Outsoles"
"127507529906","feeltrue-outsoles","MERGE","Feeltrue Outsoles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","","98","media_with_text","media_with_text.feeltrue-outsoles, media_with_text.feeltrue-outsoles-0"
"127507529906","feeltrue-outsoles","MERGE","Feeltrue Outsoles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","","99","testimonial",""
"127507529906","feeltrue-outsoles","MERGE","Feeltrue Outsoles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","","100","feature_cards_title",""
"127507529906","feeltrue-outsoles","MERGE","Feeltrue Outsoles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","","101","feature_cards",""
"127507529906","feeltrue-outsoles","MERGE","Feeltrue Outsoles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","","102","ugc_title",""
"127507529906","feeltrue-outsoles","MERGE","Feeltrue Outsoles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","","103","ugc_video",""
"127507562674","classic-diy-kit-with-vibram-cherry-soles","MERGE","Classic Diy Kit With Vibram Cherry Soles","Active","2025-08-18 23:32:21 -0600","product_description","Product Description","true","104","title_of_product","Classic DIY Kit with Vibram Cherry soles"
